symptoms,sentences
['Helicobacter infection'],"Got a gastroscope? If there is no Helicobacter pylori infection, these drugs are sufficient, without the addition of anti-inflammatory drugs."
['Reflux'],"I guess in your case, there may be bile reflux gastritis."
['Reflux'],"You may have a disease in your stomach, especially chronic gastritis, or bile reflux gastritis, but you haven't checked it."
['diarrhea'],"It may be some gastrointestinal inflammation. Is the diarrhea serious? Watery stool? How many times a day, how many days has it been?"
['diarrhea'],"In response to this consultation, the doctor updated the summary recommendations: due to the hot weather in summer, bacterial contamination is serious, food hygiene must be paid attention to to prevent gastrointestinal verification. If diarrhea occurs, you can take Imodium, Smecta, norfloxacin or other antidiarrheal drugs in time for symptomatic treatment."
['diarrhea'],"Hello, did the pain and diarrhea improve before delivery?"
['Helicobacter infection'],"Hello, you are positive for Helicobacter pylori infection and mild erosive inflammation of the stomach fundus."
"['Helicobacter infection', 'allergy']","Medications for Helicobacter pylori infection: 1. Amoxicillin and Clavulanate Potassium, 4 tablets each time after meals, 2 times a day, 2. Clarithromycin dispersible tablets, 2 tablets each time after meals, 2 times a day, 3. Ogilvy & Mather Take 1 tablet once before meals, twice a day, 4. Take 1 bag of colloidal pectin bismuth agent once before meals three times a day. Drinking alcohol is prohibited during the medication. If you are allergic, immediately stop the medication and seek medical attention. Eat for 14 consecutive days, and check for Helicobacter pylori after one month."
"['stomach ache', 'Gastrointestinal discomfort']",Do you have abdominal pain or abdominal discomfort.
"['diarrhea', 'Bloating', 'indigestion']","Because some foods are not cooked, they are prone to bloating, diarrhea, and difficult to digest."
"['diarrhea', 'Bloating', 'indigestion']","The short cooking time of these types of foods can easily lead to indigestion, which can lead to bloating and diarrhea."
"['diarrhea', 'stomach ache', 'Bloating', 'Sore throat']","Except for bloating, diarrhea, and sore throat, are there any other discomforts?"
"['diarrhea', 'Bloating', 'Sore throat']","Hmm, it is currently considered to be inflammation of the tonsils, accompanied by an acute gastroenteritis, which causes you to have runny nose, sore throat, bloating and nausea. The current absence of diarrhea is due to eating Changyanning and later eating porridge and eating less."
['Bloating'],"At the moment, you can drink some hot water and then massage your stomach to relieve the bloating."
"['nausea', 'Vomit']","Can you spit it out? If you want to vomit, or if you continue to feel nauseated, it is recommended to go to the hospital in time and ask the doctor to give you antiemetics."
['nausea'],You are currently suffering from acute gastroenteritis with obvious nausea and nausea. It is recommended to see a hospital for treatment with antiemetics to relieve the current symptoms of nausea and nausea.
"['diarrhea', 'stomachache']","Because of the fear of gastroenteritis, stomach pain and diarrhea, electrolyte disturbances and other situations will occur, which will have a greater impact, so timely medical treatment can avoid unnecessary dangers."
['Perianal pain'],Does the anus hurt? Are the stools very dry?
['hemorrhoid'],Have you had hemorrhoids before?
['Perianal pain'],Is there severe pain in the anus during defecation?
['hemorrhoid'],This consideration is due to hemorrhoids caused by dry stool or bleeding caused by anal fissure!
['hemorrhoid'],"According to your description, there is no severe pain, so consider that it is caused by hemorrhoids!"
['Dizziness'],"It may be a gastrointestinal cold, causing dizziness and aggravation of gastrointestinal symptoms."
"['Bloating', 'Vomit']",Bloating and retching in the past may be a bit of chronic gastritis.
['indigestion'],Consider the symptoms caused by gastritis with indigestion.
['indigestion'],"Eat less corn, it is not easy to be digested."
['indigestion'],it's OK. Consider the symptoms caused by gastritis with indigestion.
['Perianal pain'],"Hello, have you ever had this condition before? Is it painful in the anus?"
['hemorrhoid'],Still consider bleeding caused by hemorrhoids.
['hemorrhoid'],"Dry stools can cause damage to the anal mucosa and anal fissures, causing bleeding. External hemorrhoids generally do not bleed, but internal hemorrhoids can cause it."
"['Gastrointestinal discomfort', 'exhaust']","Easily fart is the intestinal function is not good, pay attention to a reasonable diet."
['hemorrhoid'],"Yes, if you have hemorrhoid cream at home, you can use some. If the bleeding is heavy, it is recommended to see the hospital."
['hemorrhoid'],"Under normal circumstances, hemorrhoids need surgical treatment, while maintaining smooth stool, drink plenty of water, eat more vegetables and fruits."
['hemorrhoid'],"Hemorrhoids will bleed after hemorrhoids break, so it is recommended to lie on your side and be unable to move."
['hemorrhoid'],"Hello, how are you now? If there are side effects of hemorrhoid cream, you can go to the anorectal department. It may not be a big problem."
['diarrhea'],"Well, parasites are not considered for the time being. Do you usually have cold and diarrhea? How is the bowel movement? Ene?"
['indigestion'],"1. Avoid foods that are hard, too much fiber and difficult to digest, and avoid foods that are too sour, too spicy, too strong in flavor, too salty, and too hot. 2. Regular life schedules to avoid overwork. Avoid being emotionally stressed, angry, and depressed. 3. Drink less water before going to bed, eat less dinner as much as possible, and don't eat anything before going to bed. 4. Avoid drinking or overeating, and eat breakfast on time."
"['stomach ache', 'Bloating', 'fever', 'nausea', 'Vomit']","How long has it been, have there been fever, nausea and vomiting, abdominal pain and bloating."
['Gastrointestinal disorders'],"In response to this consultation, the doctor updated a summary suggestion: acute enteritis or intestinal dysfunction may be possible."
['stomachache'],"I’m not sure about gastric ulcers. Stomach ulcers can cause stomach pain, but it can only be diagnosed by gastroscopy. You are still so small and the ulcers are uncertain."
"['stomachache', 'Cramps']","I’m not sure that stomach ulcers, acute gastritis, and stomach cramps can all cause stomach pain. Take some medicine, apply a hot compress, drink some hot water, and watch. Would it be better to see."
"['Gastrointestinal discomfort', 'Dysbacteriosis']","Poor gastrointestinal motility, dysfunction, imbalance of the flora, normal work pressure, and abnormal diet can all be caused."
['stomach ache'],"Pay attention to the abdominal pain, and go to the hospital if it worsens."
"['stomach ache', 'indigestion']",Uh-huh. Abdominal pain may also be caused by food accumulation.
['indigestion'],"Indigestion, eat lightly today, avoid fatigue, and rest more."
"['nausea', 'Hiccup', 'Reflux']","Hello, I am glad to answer for you. Nausea, acid reflux and hiccups."
['fever'],"Hello, how about the nature of the pain? Have you had an abdominal ultrasound? Do you have a fever?"
['stomach ache'],"Pain in the right lower abdomen, it is recommended to rule out appendicitis, right ureteral stones, diseases of the uterine appendages, is your menstruation normal?"
['Cramps'],"Don't eat raw and cold irritating greasy food, and can't exercise vigorously. If you feel better now, consider it as spasmodic pain."
['Gastrointestinal disorders'],It should be a little intestinal dysfunction. Have you used any medicine?
"['diarrhea', 'stomach ache']","Do you have diarrhea, abdominal pain, etc."
['hemorrhoid'],Topical medications such as Mayinglong hemorrhoid ointment and Taining suppository can be used. Sit bath with warm water.
['hemorrhoid'],"Not necessarily hemorrhoids, these can be used to treat inflammation around the anus and relieve related symptoms."
['diarrhea'],"First, you should have a gastrointestinal manifestation of a cold at first, so you have diarrhea. During this recovery process, you must pay attention to a light diet. If you still eat spicy, more stimulating food, it will cause this severe recovery to be slow or even worse."
['Reflux'],"One, the first consideration is gastroesophageal reflux disease. Avoid spicy food, eat less sweets, and drink less coffee and strong tea."
['Reflux'],"Second, the current standard treatment for gastroesophageal reflux disease is ppi plus motility medicine, and the best ppi at present is esomeprazole, motility medicine plus mosapride that I told you just now."
['Reflux'],"Third, gastroesophageal reflux disease is easy to recur. Treat for at least 2 to 3 months. After that, reduce the dose or stop the drug depending on the situation."
['Reflux'],"I don't think it is necessary to take so many drugs. The more drugs the better, and the side effects will increase. Whether the combination of drugs has an enhanced effect depends on large-scale clinical trials and statistics. It is not theoretically said. If the effect of adding drugs does not increase much, but the side effects increase, or even interference between the drugs, this is more harm than good. What you recommend is the current international standard treatment for gastroesophageal reflux disease. I will not recommend any other unproven ones."
"['diarrhea', 'Loose stool']",Do you have diarrhea every day? Is it watery? Several times a day.
"['Bloating', 'nausea', 'indigestion']",The symptoms of poor digestion are mainly nausea and bloating. Do you have these symptoms?
['indigestion'],Indigestion. Just take some domperidone and Jianweixiaoshi oral liquid.
"['diarrhea', 'stomachache', 'fever', 'Vomit']","In addition to stomach pain, do you have symptoms such as diarrhea, fever, and vomiting?"
['Bloating'],"Hello, do you have a bloated belly after eating too much or do you have a bloated belly without eating."
['Restless'],"Control emotions in life, don't be irritable, don't be anxious."
['Restless'],"Control emotions in life, don't be irritable, don't be anxious."
['Headache'],"Pay attention to rest, pay attention to add water and salt, the headache will be relieved."
['Helicobacter infection'],Have you checked whether Helicobacter pylori is positive?
['Helicobacter infection'],"When was the last time checked? If Helicobacter pylori is positive, it must be treated with anti- Helicobacter pylori drugs."
['Helicobacter infection'],"If Helicobacter pylori is positive, it must be treated with anti- Helicobacter pylori drugs. The drug that treats the stomach alone is not effective, and two antibiotics must be added, such as amoxicillin and metronidazole."
['Helicobacter infection'],"Yes, but it is best to check if Helicobacter pylori is positive."
['jaundice'],Is there any urine color or yellowing or redness of the skin?
['fever'],Doesn't you have a fever?
['nausea'],"In addition to nausea, first consider urinary tract infections, which requires blood and urinary routine and urinary tract color Doppler ultrasound examination."
"['diarrhea', 'stomach ache', 'Bloating', 'nausea', 'Vomit']","Do you have nausea, vomiting, bloating, abdominal pain, diarrhea, diarrhea?"
"['diarrhea', 'stomach ache']","Use some anti-inflammatory and intestinal drugs to treat symptomatically. If you have repeated abdominal pain and diarrhea, it is best to have a colonoscopy in the hospital gastroenterology department to rule out chronic colitis, intestinal polyps or ulcers."
"['stomach ache', 'Gastrointestinal discomfort']",What food did you eat? Do you have abdominal pain or discomfort in the lower abdomen?
['Gastrointestinal disorders'],"Um. Considering intestinal dysfunction, have you caught a cold and caught a cold?"
['Loose stool'],Are there frequent loose stools?
['Loose stool'],"If there is no problem with stool in normal times, it means that the stool has appeared loose and soft in the past two days. Consider intestinal inflammation or dysfunction caused by diet. Send out the food you eat."
['diarrhea'],Have you been having diarrhea since the 16th?
"['Frequent urination', 'Urgency']","Frequent urination, urgency, is there a urine test?"
['stomach ache'],"First send a urine routine. Because of urinary tract infections, urinary pain, low back pain, and lower abdomen pain can also occur."
['stomach ache'],Antispasmodic. Treats stomach pain. This medicine has a wide range of effects.
['Frequent urination'],"Very rarely, not necessarily painful urination. But you have frequent urination."
['Black stool'],"Consider peptic ulcer, melena is a complication, caused by ulcer and bleeding."
['Bloating'],"Particular attention should be paid to the diet. It is advisable to eat vegetarian, soft, and warm foods. Avoid eating too much fatty meat, fried foods, cold and hard foods, and fiber-rich foods, such as celery, soybean sprouts, and leeks. , Garlic moss and so on. Pay attention to your diet and avoid excessive consumption; avoid irritating foods, such as coffee, strong tea, peppers, etc.; eat less sweet and sour foods and fruits, such as chocolate, ice cream, and apples; eat less foods that are easy to flatulence, such as starch High content of sweet potatoes, lotus roots, potatoes, etc."
['Helicobacter infection'],Anti-Helicobacter pylori treatment is generally required.
['Helicobacter infection'],"General anti-Helicobacter pylori, 2 antibiotics, course of treatment for 2 weeks, recheck breath test after stopping the drug for 1 month, add omeprazole, or rabeprazole, pantoprazole, etc., 1 capsule each time, Twice a day, the course of treatment is 4 to 6 weeks, followed by Jiadaxi tablets, 2 chew tablets, or pectin bismuth, treatment for 2 weeks."
['Helicobacter infection'],"No, it is there. Generally, ulcers are caused by Helicobacter pylori infection."
['Reflux'],"If it is reflux esophagitis, it is gastroesophageal reflux disease, and its treatment is like this."
['Reflux'],"The treatment period for gastroesophageal reflux disease is relatively long, usually 6 to 8 weeks. The general drug combination is as follows: Omeprazole, 1 capsule each time, 2 times a day, plus gastrodynamic medicine, Mosapride, 1 tablet, 3 times a day, sleep at night and raise the head of the bed slightly, and supper should not be too full. No smoking, no strong tea or coffee, no chocolate. If it takes a long time, you can add 1 capsule of Deanxit and eat it after breakfast, lunch and dinner."
['Reflux'],"But you have reflux esophagitis, so you can eat, and you need to keep your stool smooth."
['Loose stool'],Is it watery? How many times have you been in line?
['Gastrointestinal discomfort'],Is your stomach upset? Which side of the ribs hurt?
"['fever', 'cough']",Have you caught a cold recently? Is there a fever? Are there any signs of coughing?
['Sputum'],What medicine has been used and what inspections have been done? Is there any sputum? what colour?
"['cough', 'Sputum']",Is there any phlegm in the cough and what color is it? Has any check been done?
['cough'],"It is necessary to prevent coughing caused by bronchial pneumonia. The medical history has been half a year, and it is necessary to go to the respiratory medicine department of the hospital for reexamination."
['cough'],When do you usually cough? Are you still there?
['cough'],Smoking can also cause coughing. It can also cause chronic pharyngitis.
"['fever', 'diarrhea', 'Vomit']",Will the symptoms be relieved after vomiting and diarrhea? Is there a fever?
['Vomit'],Ovarian cysts generally do not cause vomiting.
"['Gastrointestinal discomfort', 'Vomit']",Will my stomach discomfort be relieved after vomiting? Is it all food?
['Heartburn'],"Is there pantothenic acid, heartburn?"
['Blood in stool'],Colonoscopy is checked after the stool is bloody and pus?
"['diarrhea', 'stomach ache', 'nausea', 'Vomit']","Abdominal pain, diarrhea, nausea, vomiting, vomiting as soon as you eat, and no relief after vomiting, you should still consider the problem of gastroenteritis."
['Vomit'],"If you are still vomiting, take some omeprazole acid suppressant, mosapride to regulate gastric motility, and pipemidic acid to fight intestinal infections."
['diarrhea'],"The first two need to be eaten, and the latter can be omitted if there is no diarrhea."
['indigestion'],"correct. Medication is one aspect, and you should also pay attention to your diet. Don't eat cold, greasy, and difficult-to-digest foods, keep your mood at ease, and don't stay up late."
"['Reflux', 'Heartburn']",Is there any acid reflux heartburn?
['Gastrointestinal discomfort'],This situation is prone to gastritis and stomach upset.
['hemorrhoid'],Do you take hemorrhoids medicine on an empty stomach?
['Gastrointestinal discomfort'],Stomach discomfort usually manifests in local pain.
['stomach ache'],Hi! How long has this situation been? It hurts below the belly button.
['stomachache'],"Do you have a stomachache now, or where does it hurt?"
['stomach ache'],Is the pain around the belly button or below the belly button.
['stomachache'],"Do you have a stomachache now, or where does it hurt?"
"['stomach ache', 'Cramps']","Is the leucorrhea normal? Enteritis, intestinal cramps, and gynecological diseases can cause pain below the belly button."
['stomach ache'],"How long has your stomach hurt? Leucorrhea is yellow, sticky, still."
"['stomach ache', 'Bloating', 'Vomit', 'Reflux']","Do you have other symptoms such as abdominal pain, bloating, vomiting, and pantothenic acid?"
['Gastrointestinal discomfort'],"Hello, according to what you said, consider the stomach upset that may be caused by improper or irregular diet. How long has it been? Irregular diet and schedule? Have you had chronic stomach problems before?"
['Loose stool'],How many times do you have stool a day? Isn't it shaped?
['Gastrointestinal discomfort'],That consideration should be caused by gastrointestinal discomfort.
['indigestion'],"In addition, you must develop good eating and living habits. First, three meals a day must be eaten on time and must be eaten well. Do not eat spicy and irritating foods and greasy foods, do not eat cold foods and non-digestible foods, and do not overdrink Overeating, pay attention to a light diet, you can eat smaller meals."
['indigestion'],"Yes, then do a B-ultrasound of the urinary system."
['Bowel'],"Bowel is mostly functional. When your prostate is healed, you can contact me."
['stomach ache'],"Probably not. If severe abdominal pain suddenly occurs, you must prevent the occurrence of acute abdomen. Never delay the illness."
['Gastrointestinal discomfort'],Does the stomach feel uncomfortable? Is it painful or swollen?
"['nausea', 'Hiccup', 'Reflux', 'Heartburn']","Are there any acid reflux, heartburn, nausea, hiccups?"
['Sticky stool'],Whether there is any mucus or pus or blood in the stool.
"['Bloating', 'Hiccup']",Don't you smoke and hiccup? Are there any other symptoms? Such as bloating.
['Reflux'],Is there any acid reflux water?
['Cramps'],This is septal muscle spasm.
"['Hiccup', 'Cramps']","Hiccups are hiccups, referring to the upward movement of qi from the stomach, frequent noises in the throat, and the sound is rapid and short. It is a physiologically common phenomenon caused by the constriction and contraction of the diaphragm. Transient hiccups can also occur in healthy people, which are mostly related to diet, especially eating too fast, over-satisfied, ingesting hot or cold food and beverages, drinking alcohol, etc. It can also be caused by changes in external temperature and excessive smoking. Hiccups are frequent or last for more than 24 hours, which are called refractory hiccups, which often occur in certain diseases."
['Hiccup'],"Put a piece of clean gauze on the tongue, pinch the tongue with your fingers and stretch it out. At this time, you will feel the gas rising in your abdomen, and the hiccup will be eliminated naturally."
"['Gastrointestinal discomfort', 'Hiccup']",Did the hiccup happen first or the stomach upset first?
"['Gastrointestinal discomfort', 'Hiccup', 'Sputum']","Spit, have you caught a cold? That should be an upset stomach caused by hiccups."
['Loose stool'],Oh. How many days have stools been rare?
['Gastrointestinal discomfort'],"But this medicine is a little irritating to the stomach. If your stomach is upset, I suggest you not take it."
['Bowel'],Yep. The stomach gurgling wants to consider gastrointestinal peristalsis.
['stomach ache'],Yep. It is also recommended to apply heat to the abdomen or massage the abdomen clockwise to relieve the pain.
"['stomach ache', 'exhaust']",Yep. The medicine given to you can regulate intestinal function. Relieve abdominal pain and fart.
['Gastrointestinal discomfort'],"Both. I have been in the free clinic for the past year, and you can consult me ​​at any time if I have any gastrointestinal discomforts during the medication period or in normal times. (If it is convenient, you can add to my homepage to follow, I will regularly update the popular science articles on gastrointestinal diseases)"
['Gastrointestinal disorders'],That has something to do with gastrointestinal dysfunction.
"['Reflux', 'Heartburn']","Hello, do you have a heartburn and acid reflux?"
['Gastrointestinal discomfort'],"Hmm, have you ever had an upset stomach before?"
['Gastrointestinal disorders'],"At present, gastritis and intestinal dysfunction are considered."
"['Gastrointestinal discomfort', 'Headache']","Everyone has a headache, brain fever, and gastrointestinal discomfort. Just take care of it."
['stomach ache'],Are stomach pains and loose stools together?
"['diarrhea', 'stomach ache']","Hello, how long has the stomach hurt? Diarrhea?"
"['stomach ache', 'nausea', 'Loose stool']",Are the stools runny? Is the stomach pain constant or intermittent? Is it nausea?
['Gastrointestinal discomfort'],Did you feel sick in your stomach before taking the medicine?
"['diarrhea', 'Bloating', 'stomachache', 'Vomit', 'Hiccup', 'Reflux']","Are there acid reflux, hiccups, vomiting, bloating, stomach pain, constipation, diarrhea?"
['Helicobacter infection'],How long has this situation been? Have you done any examinations and treatments? Have you checked the gastroscope and Helicobacter pylori infection test?
['Restless'],"How long has this situation been? Do you eat regularly for three meals? Do you often eat too fast? Often feel stressed, bad mood, or anxious? And drink often?"
['Helicobacter infection'],"This situation is commonly caused by chronic gastritis and hyperacidity. It is recommended to take some medicines that reduce the acidity of the stomach and repair the gastric mucosa, such as: lansoprazole, teprenone capsules, Kangfuxin liquid, etc., eat lightly . It is best to check for Helicobacter pylori infection."
['bitter'],"Hello, besides bitter mouth, are there any other accompanying symptoms?"
"['Reflux', 'bitter']","Bitter mouth may get angry, bile reflux, cholecystitis, cholelithiasis, oral problems, it is recommended to eat lighter, avoid spicy fried greasy food."
['bitter'],"In addition to bitter mouth, are there any other accompanying symptoms?"
"['Reflux', 'Heartburn']","It is recommended to continue taking omeprazole, Kangfuxin liquid (mucosal protective agent), mosapride gastrointestinal motility agent, such as acid reflux, heartburn can be added to Daxi."
['diarrhea'],unnecessary. It's fine. Have diarrhea?
['Bowel'],"Mosapride promotes gastrointestinal peristalsis, and bowel sounds may be more obvious after medication."
"['diarrhea', 'stomach ache', 'Bloating', 'nausea', 'Vomit', 'Hiccup', 'Bowel', 'Anorexia']","Stomach grumble is caused by hyperintestinal sounds. You can try replacing mosapride with trimebutine maleate tablets. Indications (this medicine has two-way regulation of gastrointestinal peristalsis) 1. It is caused by gastrointestinal motility disorders. Improvement of symptoms such as loss of appetite, nausea, vomiting, belching, abdominal distension, abdominal pain, abdominal pain, diarrhea, and constipation. 2. Irritable bowel syndrome."
"['Reflux', 'Heartburn', 'Bowel']","1 It is recommended to continue taking omeprazole, Kangfuxin liquid (mucosal protective agent), mosapride gastrointestinal motility agent, such as acid reflux heartburn, you can add Daxi. According to the description, it may be cephalosporin, diosmin tablets, and Zhikang capsules, which have acid reflux caused by gastrointestinal adverse reactions. Accompanied by bowel symptoms, try trimebutine maleate tablets to regulate gastrointestinal motility. Send your child to school, leave a message if you have any questions."
['hemorrhoid'],"Hello, how long has this situation been? Do you usually have hemorrhoids? Is there constipation?"
"['hemorrhoid', 'Blood in stool']","Blood or dark red blood after a bowel movement is generally lower gastrointestinal bleeding, of which hemorrhoids are the most common."
['Black stool'],Black stool is usually bleeding from the upper gastrointestinal tract.
['hemorrhoid'],It is recommended that you do a digital rectal examination or colonoscopy to check for hemorrhoids.
"['hemorrhoid', 'Blood in stool']","Internal hemorrhoids are mainly caused by bleeding after stool, and external hemorrhoids are mainly caused by lumps prolapse, pain or itching after stool."
['fever'],"Many gastrointestinal diseases are caused by bad eating habits and lifestyle. Therefore, it is necessary to develop good eating habits and lifestyle. Try not to eat spicy food that is too hot, too cold, and too greasy. Eat more vegetables, fruits and whole grains, and eat less high-fat and high-calorie foods. Don’t eat junk food and don’t drink carbonated drinks. Quit smoking and limit alcohol. Three meals are on time and regularly, eat seven to eight points full, and exercise moderately after meals. Don't stay up late, don't overwork. Maintain a good attitude. Coupled with regular and effective drug treatment, recurrence can be reduced to a large extent, and even cured."
['Gastrointestinal disorders'],This should be a manifestation of intestinal dysfunction.
['Dysbacteriosis'],"Drug treatment can choose to adjust the intestinal flora imbalance drugs, such as: bifidobacteria, intestinal health and so on."
['Gastrointestinal disorders'],"If it is just a simple intestinal dysfunction, it is not a big problem. You can get better and recover through the methods described above."
['Anorexia'],"It should not be considered serious and can be maintained and observed at home. Don't eat cold, hard and spicy. In case it is not good, it is recommended to take stomach medicine."
['indigestion'],"If you can adjust your work and rest, I suggest you adjust yourself first. At present, we are considering indigestion, and you can use medicine when you feel bad occasionally."
['stomach ache'],Do you have abdominal pain? Are you vomiting?
"['diarrhea', 'Loose stool']","I have had diarrhea several times, is it watery stool?"
"['nausea', 'Vomit']",Is there any nausea and vomiting?
"['diarrhea', 'nausea', 'Vomit']","Or use berberine and norfloxacin, add montmorillonite powder for severe diarrhea, add metoclopramide tablets for severe nausea and vomiting."
"['stomach ache', 'Bloating', 'Vomit', 'Hiccup', 'Reflux']","Do you have other symptoms such as abdominal pain, bloating, vomiting, hiccups, and pantothenic acid?"
['Gastrointestinal disorders'],"Are you treated or checked again? Your situation is considered to be caused by gastroenteritis or gastrointestinal dysfunction. It is recommended to eat lightly, keep warm, do not eat spicy, greasy and raw or cold foods, drink more hot water, do not smoke or drink, and exercise properly after meals. To keep the stool smooth, you can take trimebutine, bifidobacterium triple viable bacteria tablets and rabeprazole together to improve the symptoms. If it doesn't work, you need to go to the hospital for a gastrointestinal endoscopy, etc. It is better to see the specifics."
"['hemorrhoid', 'Blood in stool']","Hemorrhoids or rectal polyps are likely to cause bleeding. It is recommended that you first go to the hospital for a digital anal examination to rule out the possibility of hemorrhoids. If there is no problem, you need to have a colonoscopy and regular treatment. In addition, it is recommended that you have a light diet, do not smoke or drink, eat more fruits and vegetables, less spicy and greasy, and keep the stool smooth, and you can take Yunnan Baiyao to stop bleeding if you have more bleeding."
['fever'],Are you vomiting too much? Fever?
['Vomit'],Is it easier to vomit?
['Vomit'],Related to vomiting. You can try drinking less water.
['Helicobacter infection'],Have you tested Helicobacter pylori?
['indigestion'],"Yes, eat less, this thing is not easy to digest."
['stomach ache'],Which part of the stomach hurts?
['diarrhea'],Diarrhea?
['Cramps'],Intestinal cramps are not important!
['Bloating'],It is the intestinal peristalsis that causes pain and sometimes abdominal distension!
"['Reflux', 'Heartburn']",Is there any acid reflux heartburn?
['stomach ache'],possible. Does it hurt to press on the belly button with your hand?
['Gastrointestinal discomfort'],Unclean stools may cause stomach discomfort.
"['cough', 'Chest pain']",Do you have chronic pharyngitis? Do you have cough symptoms for chest pain?
['Backache'],"It is best to review the liver, gallbladder and spleen ultrasound to rule out back pain caused by chronic cholecystitis."
['cough'],"If there are no symptoms of cough, it can be ruled out, lung inflammation, if you are not at ease, recheck the chest radiograph to confirm the diagnosis in time."
['indigestion'],"Meat is not easy to digest, so you can eat more fruits and vegetables."
['Helicobacter infection'],"Hello, how long has it been like this? When was Helicobacter pylori checked?"
['Hiccup'],Is there a lot of hiccups?
['Helicobacter infection'],"Yes, helicobacter pylori can be rechecked for at least one month after stopping the drug, otherwise it is meaningless."
"['Bloating', 'stomachache', 'Reflux', 'Heartburn']","Do you have stomach pain or bloating now? Acid reflux, heartburn?"
"['nausea', 'Vomit', 'Hiccup']",Are there hiccups? feel sick and vomit?
['diarrhea'],How is the stool situation? Will there be diarrhea or constipation?
"['Hiccup', 'Reflux']",How long has it been for acid reflux and belching?
['Bloating'],"Is there any incentive? For example, bloating after eating?"
['Black stool'],How is the bowel movement? Are there any abnormalities such as black stool?
['nausea'],"Nausea, do you vomit?"
['Heartburn'],"Pantothenic acid, is there any heartburn?"
['Hiccup'],Hiccup?
['Gastrointestinal disorders'],"Hmm, consider gastrointestinal dysfunction through your description."
['diarrhea'],"Probiotics can be taken orally for conditioning. The role of probiotics: 1. Treat or prevent constipation or diarrhea; 2. Increase the body's immunity; 3. Promote nutrient absorption; 4. Prevent infection of the genitourinary system; 5. Lower cholesterol; 6. Prevent osteoporosis; 7. If the probiotic contains Lactobacillus, it can treat lactose intolerance."
['Gastrointestinal disorders'],"It is recommended not to eat it. It may affect the baby by breast milk. You can take montmorillonite powder, considering the possibility of intestinal dysfunction."
['Helicobacter infection'],"Hello, have you checked for Helicobacter pylori."
['Reflux'],"Hello, look at the symptoms and consider gastroesophageal reflux."
['Reflux'],Now looking at companion reflux.
['Gastrointestinal disorders'],"Considering intestinal dysfunction, it can be adjusted by oral lactobacillus tablets."
['Bowel'],Excuse me: Do you feel your stomach gurgling? Do you feel the intestines moving?
['Black stool'],How is the stool? How many times a day? what colour? Shaped stool or thin stool? Is it black or bloody?
['Cramps'],"Then you can observe it again. Maybe the pressure was high when choking while drinking water, which caused local muscle spasm and pain in the esophagus."
"['Bloating', 'Hiccup', 'Reflux']",Do hiccups regurgitate acid water? Is it bloating?
"['diarrhea', 'Heartburn']","Generally, heartburn is caused by excessive gastric acid secretion. Rebec suppresses gastric acid. If you have diarrhea, you can add berberine and golden bifid to adjust it. Do you have any questions."
['Sore throat'],Is there a sore throat?
['Gastrointestinal disorders'],This is caused by intestinal dysfunction.
['Gastrointestinal disorders'],Not currently. Intestinal dysfunction.
"['diarrhea', 'stomach ache', 'fever']","Hello, do you have fever, abdominal pain, or diarrhea?"
['Vomit'],Is retching a moment or a specific time?
['Vomit'],Does the throat feel uncomfortable when retching?
['Vomit'],Retching is usually caused by gastritis and gastric ulcer. But chronic pharyngitis can also be caused. Chronic pharyngitis usually causes discomfort in the throat. Especially brushing my teeth in the morning.
"['diarrhea', 'stomach ache']","Oh, did you have a stomachache before pulling?"
['Loose stool'],This kind of unformed stool is a manifestation of heavier body moisture in Chinese medicine.
['Sticky stool'],Stool will be stickier and rotten.
"['Loose stool', 'Sticky stool']","Mucus is the mucus seen on the surface of the stool, just like saliva. Some have pus, and pus can also be seen. This has to be imagined."
['Bloating'],"Taking the belly button as the boundary, whether the upper abdomen is bloated, the lower abdomen is bloated, or the whole abdomen is bloated."
"['nausea', 'Hiccup', 'Reflux']","Nausea, acid reflux and hiccups."
['stomach ache'],Is there any pain in the upper abdomen? Is the stool normal?
['Bloating'],Your situation is mainly related to flatulence.
"['Hiccup', 'Reflux']",Are you full of hiccups with acid reflux water?
['diarrhea'],Did you have diarrhea?
['diarrhea'],"For acute gastroenteritis, take berberine and scopolamine for one day, if you have diarrhea, add Yimengtin."
['diarrhea'],"If you don’t have diarrhea, you can also eat these two."
['Cramps'],"That may be intestinal spasm, which is pain caused by intestinal muscle contraction, which is not a big problem."
"['stomach ache', 'Bloating']",Does the stool form? Do you have abdominal pain and bloating?
"['stomachache', 'Reflux', 'Heartburn']","Have stomach pain, acid reflux, heartburn?"
['stomach ache'],Does it hurt when you press above your belly button?
"['diarrhea', 'stomach ache', 'nausea', 'Reflux', 'Heartburn']","Heartburn, vomiting acid, nausea, abdominal pain, diarrhea?"
"['Bloating', 'indigestion']",Abdominal distension after eating is mostly caused by poor digestion or poor gastrointestinal motility.
['stomach ache'],Did you eat any special food? Are there any symptoms of abdominal pain?
"['indigestion', 'Gastrointestinal disorders']",It may also be caused by indigestion caused by gastrointestinal disorders.
['Reflux'],Oh! Does acid regurgitation spit out acid water?
"['Bloating', 'stomachache']",Is there obvious stomach pain and bloating?
['indigestion'],"Yes, gastritis causes indigestion, and food stays in the stomach for a long time."
['Chest pain'],"Pain in the middle of the chest is due to some esophagitis, not a serious problem, but you must pay attention to maintenance, otherwise it may get worse."
['Cramps'],This is generally caused by intestinal cramps caused by colds!
